positive,negative,totalTestResults,recovered,death,probableCases,hospitalizedCurrently,negativeRegularScore,positiveScore,deathIncrease,totalTestsAntibody,dataQualityGrade,deathProbable
364276.0,2018813.0,2370499.0,56382.0,6950.0,12590.0,2977.0,0,0,25,370928.0,A+,519.0
200632.0,2568543.0,2732005.0,30161.0,2072.0,34939.0,1731.0,0,0,10,96301.0,B,102.0
13348.0,900832.0,914180.0,10080.0,227.0,1547.0,164.0,0,0,0,12859.0,A+,2.0
426576.0,6538482.0,6965058.0,197750.0,10321.0,31540.0,4141.0,0,0,0,378723.0,A+,467.0
